transcript_id,gene_id,WXOFHUORVFJYNQPU,OXBCHWNYNTPSSTGN,YFLQYUFTSERFAPKN,QSSRZDSPSKYUXCHP
R1_11_9805055_9811632_1,R1_11,18247,7530,26554,30495
R2_19_1,R2_19,108,230,168,255
R1_42_2,R1_42,16,8,18,18
R1_42_1,R1_42,21,10,29,23
R2_150_6446048_6451375_1,R2_150,1084,6309,1391,14997
R2_42_5187408_5203696_1,R2_42,1164,644,1663,2047
R2_54_9407565_9412370_1,R2_54,34,8,33,22
R2_150_2,R2_150,1043,8221,1599,10527
R2_14_6535369_6557020_1,R2_14,778,402,1486,1758
R2_150_1,R2_150,3588,18515,4674,54540
R1_73_8211994_8366246_1,R1_73,23630,3529,31194,9151
R2_19_6746481_6774432_1,R2_19,0,14,2,15
R1_52_1,R1_52,767,2,1269,9
R1_52_2,R1_52,31,17,49,48
R2_24_1082119_1239452_1,R2_24,31,24,25,51
R2_7_1,R2_7,2192,5760,3853,20461
R2_38_1,R2_38,2603,1514,4429,4448
R2_38_2,R2_38,6100,3110,10049,9688
R2_38_3,R2_38,12113,7289,19559,19948
R2_38_4,R2_38,55212,30720,86423,94845
R2_45_4203625_4239101_1,R2_45,324,255,369,631
R2_26_1,R2_26,233,837,300,1979
R2_26_2,R2_26,187,2875,250,3863
R1_33_2,R1_33,525,253,772,704
R1_33_3930110_3939832_1,R1_33,784,418,1219,1460
R1_33_1,R1_33,1963,1551,2705,2590
R1_103_1,R1_103,12238,1172,19712,1687
R1_103_2,R1_103,2016,29845,3066,69070
R2_42_3,R2_42,16899,7706,26857,29013
R2_42_2,R2_42,28382,14019,44791,46458
R2_42_1,R2_42,12551,8773,19572,16907
R2_37_3,R2_37,1,1,2,12
R1_23_2,R1_23,831,460,1236,1286
R1_73_8380058_8400746_1,R1_73,2114,1004,3571,3515
R1_101_2,R1_101,207,227,334,824
R1_101_1,R1_101,33,399,42,1599
R2_6_1,R2_6,4133,15595,6716,49052
R2_6_2,R2_6,8801,3265,13200,9787
R2_151_6298772_6311426_1,R2_151,3,1,3,2
R2_26_5556301_5569578_1,R2_26,262,1795,421,5476
R1_13_1,R1_13,1466,3863,1993,5555
R2_72_2379820_2386699_3,R2_72,3883,3358,4401,5683
R2_7_2553118_2556030_1,R2_7,125,229,165,1026
R1_31_1,R1_31,9955,4165,15084,15114
R1_31_2,R1_31,1284,618,1618,1795
R2_26_5556301_5583240_1,R2_26,203,1228,337,3019
R2_37_4488352_4488667_1,R2_37,0,7,1,9
R1_73_8211994_8365558_1,R1_73,7909,1122,11359,3858
R1_92_144926_235060_1,R1_92,136,263,162,910
R1_103_6583067_6601180_1,R1_103,6896,576,10658,1872
R1_43_1,R1_43,95,7,126,8
R2_60_9903251_9932892_1,R2_60,203,2,293,11
R1_41_1,R1_41,3199,1651,4473,7255
R2_27_1,R2_27,1,18,4,23
R2_27_2,R2_27,53,249,70,733
R1_41_2,R1_41,5137,462,7724,1281
R2_14_2,R2_14,38987,18271,62461,62421
R2_14_3,R2_14,15966,9290,26111,25001
R2_14_1,R2_14,91986,59127,148779,143180
R1_73_8366262_8368106_1,R1_73,1288,191,1300,480
R2_26_5591064_5597865_1,R2_26,6,26,8,71
R2_59_3,R2_59,733,26,1143,54
R2_59_2,R2_59,696,37,1024,81
R2_59_1,R2_59,1056,45,1571,111
R2_46_3,R2_46,11816,12010,16209,16554
R2_46_2,R2_46,4860,2819,5558,7722
R2_46_1,R2_46,3548,5017,4837,4806
R1_32_2,R1_32,37,50,63,221
R1_32_1,R1_32,1,76,0,247
R1_102_1,R1_102,322,408,495,751
R1_92_2012076_2136469_1,R1_92,124,287,138,798
R1_22_1,R1_22,118,8207,114,23119
R1_22_2,R1_22,1288,2233,2014,8053
R2_41_1,R2_41,2000,452,2917,723
R2_117_2972192_2986595_1,R2_117,250,177,254,375
R2_24_1082119_1091642_1,R2_24,167,93,190,289
R2_116_2,R2_116,81,50,87,125
R2_116_3,R2_116,229,193,294,366
R2_68_2,R2_68,2,45,1,95
R2_68_1,R2_68,3,59,7,100
R2_63_1,R2_63,81,58,70,129
R1_73_8366098_8368106_1,R1_73,5976,1090,6727,2550
R1_13_2,R1_13,80222,599,130014,2195
R2_45_4177667_4239101_1,R2_45,50,39,52,86
R2_57_9941314_9979689_3,R2_57,0,11,1,21
R2_116_1,R2_116,78,57,124,136
R1_23_1,R1_23,371,219,481,357
R2_54_9407720_9412370_1,R2_54,38,41,39,144
R2_7_2,R2_7,212,7785,304,10610
R2_60_2,R2_60,1429,38,2102,50
R2_60_1,R2_60,3038,149,4437,376
R2_72_2,R2_72,3406,4552,4557,2593
R2_72_3,R2_72,7407,9834,9458,4256
R2_72_1,R2_72,5272,5655,7933,6650
R1_22_6412429_6437487_1,R1_22,0,13,0,41
R2_72_2379820_2386433_1,R2_72,11609,10556,13377,16875
R2_46_4144391_4148049_1,R2_46,867,1245,1109,1231
R1_22_6412429_6437487_2,R1_22,8,459,6,1543
R2_53_1,R2_53,43236,7621,57029,7258
R2_6_1635427_1669479_1,R2_6,3407,11047,5429,38064
R2_53_3,R2_53,7910,1065,11073,1432
R2_53_2,R2_53,23503,3693,31954,3995
R2_32_5331780_5334003_1,R2_32,1860,2252,3053,6819
R1_73_8176596_8365673_1,R1_73,10592,4379,16988,15374
R1_73_8366262_8401345_1,R1_73,997,252,1465,235
R2_73_1,R2_73,119,5,194,9
R2_7_2529479_2556030_1,R2_7,199,4841,351,16717
R1_71_8623259_8627562_1,R1_71,102,33,132,153
R1_71_8623259_8627562_2,R1_71,1,2,1,4
R2_71_1,R2_71,45,20,101,60
R2_71_2,R2_71,8,7,7,9
R1_92_2012076_2199400_1,R1_92,223,433,351,1461
R2_41_2,R2_41,537,16405,900,56394
R2_32_2,R2_32,766,1020,1244,2354
R2_32_3,R2_32,285,355,435,888
R2_20_2,R2_20,88,17,146,28
R2_150_6446048_6451743_2,R2_150,196,1297,286,2478
R2_150_6446048_6451743_3,R2_150,2558,11470,3250,30175
R2_150_6446048_6451743_1,R2_150,90,685,134,1199
R2_20_1,R2_20,8,0,12,3
R2_153_1,R2_153,26,34,45,98
R2_153_3,R2_153,2,5,13,23
R2_153_2,R2_153,8,15,20,53
R1_11_2,R1_11,63244,29702,94653,100532
R1_62_1,R1_62,2,13,2,51
R1_62_2,R1_62,9,5,24,40
R1_11_1,R1_11,6833,3636,12041,9991
R2_60_9903364_9932892_1,R2_60,172,1,226,13
R1_102_6790136_6829413_1,R1_102,68,59,96,174
R2_7_2553118_2556131_1,R2_7,83,190,125,738
R2_67_1,R2_67,823,108,1064,304
R1_13_6949689_6951607_1,R1_13,1207,52,1630,204
R2_117_1,R2_117,2415,1968,4273,3642
R2_72_2379820_2386699_2,R2_72,7188,6708,8261,10717
R2_117_3,R2_117,942,802,1079,1357
R1_91_2,R1_91,351,612,525,1744
R1_91_1,R1_91,6259,71,9913,252
R1_12_1,R1_12,31,5,50,18
R2_26_5556301_5597865_1,R2_26,21,282,29,174
R2_7_2529479_2556131_1,R2_7,10,371,12,600
R2_45_4160323_4239101_1,R2_45,40,31,59,74
R1_83_2,R1_83,6,6,9,6
R1_73_8366366_8401345_1,R1_73,7777,1210,9963,2917
R2_115_2,R2_115,25,10,14,20
R2_32_1,R2_32,914,996,1649,3148
R1_73_8176596_8365558_1,R1_73,5802,2679,9084,9695
R2_57_9941314_9979689_2,R2_57,2,41,0,85
R1_82_2,R1_82,54,3,99,18
R1_81_1,R1_81,15,13,16,35
R1_72_2,R1_72,2,15,7,36
R1_72_1,R1_72,1,9,0,25
R2_63_3,R2_63,44,30,49,73
R1_92_2,R1_92,534,928,778,3021
R2_57_1,R2_57,29,29,40,48
R1_73_8366366_8368106_1,R1_73,198,34,231,68
R2_57_2,R2_57,2,201,6,345
R2_72_2379820_2386699_4,R2_72,1654,2038,1840,1757
R2_151_3,R2_151,53,24,75,81
R2_151_2,R2_151,101,39,116,144
R2_151_1,R2_151,41,14,55,65
R2_72_2379820_2386699_1,R2_72,39,37,36,39
R2_153_6112884_6113483_1,R2_153,1,4,3,7
R1_13_6949424_6951473_1,R1_13,5888,51,8559,192
R2_19_6655221_6696501_1,R2_19,64,141,65,335
R2_26_5556301_5569697_1,R2_26,55,417,80,1316
R1_92_2135119_2199189_1,R1_92,727,1794,819,4642
R2_154_2,R2_154,169569,97705,266799,271221
R2_53_5022067_5145080_1,R2_53,23475,2192,30037,5724
R2_154_1,R2_154,35315,17309,56160,54187
R2_45_4159999_4239101_1,R2_45,18,5,26,33
R2_150_6446048_6450902_1,R2_150,243,1278,284,3247
R2_28_3,R2_28,1374,626,1946,2234
R1_102_6790171_6808198_1,R1_102,470,16,799,39
R2_60_9903364_9932946_1,R2_60,150,5,172,32
R1_61_2,R1_61,45,22,102,98
R1_61_1,R1_61,113,30,174,174
R1_71_1,R1_71,328,136,481,484
R1_82_1,R1_82,39,10,76,26
R2_72_4,R2_72,19116,18284,26012,17711
R2_45_4,R2_45,248,246,380,197
R2_28_2,R2_28,445,563,583,543
R1_102_2,R1_102,538,13,727,32
R2_45_1,R2_45,189,132,255,318
R2_45_2,R2_45,82,95,120,63
R2_45_3,R2_45,142,139,196,170
R2_24_2,R2_24,29,24,42,34
R2_24_1,R2_24,41,104,61,43
R2_24_1082119_1139085_1,R2_24,102,80,182,203
R1_73_8211994_8365808_1,R1_73,11052,1536,16827,4942
R1_31_3762390_3794119_1,R1_31,1610,1098,1662,2232
R2_46_4145401_4147434_1,R2_46,42,31,60,114
R1_61_8483369_8507471_1,R1_61,81,28,123,154
R1_73_1,R1_73,6543,3857,10067,10358
R2_24_1198656_1239452_1,R2_24,1,4,3,3
R1_11_9805172_9811632_1,R1_11,912,491,1230,1607
R1_73_2,R1_73,10960,2086,16424,3595
R2_28_1,R2_28,1396,887,1877,2022
R2_55_2,R2_55,19,123,25,275
R1_12_2,R1_12,146,1,229,0
R1_21_2,R1_21,19,1,22,8
R1_71_2,R1_71,2013,841,3364,3414
R1_92_1,R1_92,1033,2844,1353,5025
